1.353724309146618680e+03,6.530972489989490271e+01
1.117436131533668231e+03,1.538720478928658792e+02
1.042526867094494037e+03,1.878216024035358203e+02
9.473955944242931082e+02,2.784589416489984046e+02
1.200777800435061181e+03,2.281954933120253202e+02
2.005952303537843136e+03,3.567570693214900643e+02
2.377824477280712472e+03,4.561549725673409625e+02
2.305125364157056083e+03,5.316920454859587153e+02
7.332455926804315141e+02,9.898590800796476685e+01
1.209834715505125580e+01,1.184282090046739899e+00
1.824713397856212850e+03,3.783427732175756546e+02
1.120048745168857522e+03,3.029061487205850653e+02
2.604454593241050588e+03,5.031298998964020370e+02
